Structure,TW_NAVD88,HW_NAVD88,GO_feet
S40,-3.55,5.2,4
S40,-3.15,5.95,4
S40,-2.524795075,6.989880363,4
S40,-2.448426957,7.115124077,4
S40,-2.384277737,7.231203618,4
S40,-2.314019068,7.350337882,4
S40,-2.234596225,7.460307973,4
S40,-2.176556455,7.564168614,4
S40,-2.112407235,7.652755632,4
S40,-2.451481681,6.43392046,4.5
S40,-2.35373049,6.611094495,4.5
S40,-2.252924573,6.779104356,4.5
S40,-2.16739228,6.931840593,4.5
S40,-2.072695813,7.087631555,4.5
S40,-1.996327695,7.209820544,4.5
S40,-1.898576503,7.350337882,4.5
S40,-1.834427283,7.475581597,4.5
S40,-1.770278064,7.564168614,4.5
S40,-1.718347743,7.646646182,4.5
S40,-2.216267876,6.13761216,5
S40,-2.081859988,6.381990139,5
S40,-1.944397374,6.650805916,5
S40,-1.816098935,6.855472474,5
S40,-1.70307412,7.032646509,5
S40,-1.617541827,7.179273297,5
S40,-1.498407562,7.335064259,5
S40,-1.412875269,7.490855221,5
S40,-1.321233527,7.643591458,5
S40,-1.895521778,5.89323418,5.5
S40,-1.81304421,6.07957239,5.5
S40,-1.727511917,6.244527526,5.5
S40,-1.63281545,6.424756286,5.5
S40,-1.528954809,6.620258669,5.5
S40,-1.431203618,6.797432704,5.5
S40,-1.330397701,6.953223666,5.5
S40,-1.202099262,7.170109123,5.5
S40,-1.101293345,7.356447332,5.5
S40,-1.012706328,7.490855221,5.5
S40,-0.914955136,7.646646182,5.5
S40,-1.357890224,6.31784092,6
S40,-1.254029582,6.504179129,6
S40,-1.125731143,6.714955136,6
S40,-0.994377979,6.90434807,6
S40,-0.878298439,7.075412656,6
S40,-0.759164174,7.249531966,6
S40,-0.655303533,7.390049304,6
S40,-0.585044864,7.487800496,6
S40,-0.475074773,7.643591458,6
S40,-0.594209038,6.699681512,6.5
S40,-0.447582251,6.855472474,6.5
S40,-0.27957239,6.995989812,6.5
S40,-0.077960557,7.151780774,6.5
S40,0.093104029,7.270915039,6.5
S40,0.25500444,7.347283158,6.5
S40,0.407740677,7.4389249,6.5
S40,0.572695813,7.518347743,6.5
S40,0.774307646,7.600825311,6.5
S41,-2.471217755,6.902823336,5
S41,-2.375757607,7.078470009,5
S41,-2.249750211,7.223569434,5
S41,-2.131379628,7.391579295,5
S41,-2.001553826,7.551952344,5
S41,-1.867909619,7.689414957,5
S41,-1.711354975,7.86506163,5
S41,-2.207747746,6.120050121,5.5
S41,-2.11992441,6.303333606,5.5
S41,-2.013009044,6.494253902,5.5
S41,-1.883183242,6.677537387,5.5
S41,-1.734265411,6.879912901,5.5
S41,-1.612076421,7.025012326,5.5
S41,-1.432611343,7.231206246,5.5
S41,-1.249327858,7.418308137,5.5
S41,-1.108046839,7.559589156,5.5
S41,-0.96676582,7.712325393,5.5
S41,-0.821666394,7.819240759,5.5
S41,-0.695658999,7.949066561,5.5
S41,-0.615472474,8.017797867,5.5
S41,-1.604439609,6.17732621,6
S41,-1.486069026,6.368246506,6
S41,-1.352424818,6.543893179,6
S41,-1.176778146,6.738631881,6
S41,-0.989676255,6.933370584,6
S41,-0.8254848,7.105198851,6
S41,-0.61929088,7.296119147,6
S41,-0.436007396,7.460310602,6
S41,-0.176355793,7.63977568,6
S41,-0.027437961,7.788693512,6
S41,0.148208711,7.914700907,6
S41,0.22457683,7.979613808,6
S41,-0.451281019,6.746268693,6.5
S41,-0.29090797,6.929552178,6.5
S41,-0.099987674,7.131927692,6.5
S41,0.083295811,7.296119147,6.5
S41,0.228395236,7.422126543,6.5
S41,0.377313067,7.53667872,6.5
S41,0.537686116,7.651230898,6.5
S41,0.614054235,7.719962205,6.5
S59,49.2135,53.3741,1
S59,49.4671,54.5622,1
S59,49.6694,55.8322,1
S59,49.9459,57.1308,1
S59,50.1683,58.6765,1
S59,50.3476,59.836,1
S59,50.4267,61.0217,1
S59,50.1797,52.3131,2
S59,50.5574,53.5304,2
S59,50.9841,54.8035,2
S59,51.3868,56.0211,2
S59,51.7636,57.2935,2
S59,52.1106,58.841,2
S59,52.3891,60.0294,2
S59,52.5214,61.023,2
S59,51.2157,52.9609,3
S59,51.5513,53.7369,3
S59,51.7182,54.18,3
S59,51.8639,54.4024,3
S59,52.1736,55.2331,3
S59,52.5072,56.1192,3
S59,52.8438,56.8401,3
S59,53.3673,58.2798,3
S59,53.8893,59.8022,3
S59,54.1017,60.4938,3
S59,54.2187,60.9362,3
S59,52.2254,53.6911,4
S59,52.5629,54.3569,4
S59,53.1402,55.577,4
S59,53.8597,57.2122,4
S59,54.412,58.432,4
S59,55.1556,60.1226,4
S59,55.4648,60.9809,4
S59,53.1311,54.6678,5
S59,53.6143,55.556,5
S59,54.1944,56.6108,5
S59,55.089,58.2209,5
S59,55.6916,59.4138,5
S59,56.1236,60.3839,5
S59,56.3882,60.9385,5
S59,54.0401,55.4516,6
S59,54.6926,56.6452,6
S59,55.4443,57.8677,6
S59,56.0258,58.8399,6
S59,56.7042,59.9787,6
S59,57.0412,60.672,6
S59,57.2608,60.9505,6
S59,54.8254,56.1787,7
S59,55.1404,56.7065,7
S59,55.6016,57.4291,7
S59,55.9655,58.0126,7
S59,56.4986,58.9015,7
S59,56.9607,59.569,7
S59,57.3217,60.3178,7
S59,57.6348,60.9557,7
S59,55.8308,57.1567,8
S59,56.0973,57.6012,8
S59,56.3893,58.0184,8
S59,56.6549,58.5179,8
S59,56.9953,59.0185,8
S59,57.3338,59.6292,8
S59,57.7221,60.2406,8
S59,58.084,60.9343,8
S59,56.8616,58.1076,9
S59,57.178,58.5527,9
S59,57.4441,59.0247,9
S59,57.8324,59.6361,9
S59,58.1723,60.1642,9
S59,58.4868,60.7195,9
S59,58.6565,60.9973,9
S60,55.38701612,60.82989247,2
S60,55.62016129,61.64034946,2
S60,55.85330645,62.22876344,2
S60,56.08645161,63.10583333,2
S60,56.34180107,63.88298387,2
S60,56.48612903,64.4380914,2
S60,56.65266129,64.89327957,2
S60,56.78588709,65.4705914,2
S60,56.8969086,66.14782258,2
S60,56.9857258,66.59190861,2
S60,57.0079301,66.91387097,2
S60,56.34180107,60.51903225,2.5
S60,56.57494623,61.39610215,2.5
S60,56.75258064,62.3952957,2.5
S60,57.01903225,63.18354839,2.5
S60,57.21887096,63.91629032,2.5
S60,57.50752688,64.88217742,2.5
S60,57.67405914,65.67043011,2.5
S60,57.77397849,66.19223119,2.5
S60,57.81838709,66.5475,2.5
S60,57.9072043,66.90276882,2.5
S60,56.76368279,60.27478494,3
S60,57.06344086,61.08524193,3
S60,57.31879032,62.10663978,3
S60,57.51862903,62.81717742,3
S60,57.68516129,63.4944086,3
S60,57.87389785,64.14943548,3
S60,58.0182258,64.78225807,3
S60,58.19586021,65.4039785,3
S60,58.40680107,66.09231183,3
S60,58.54002688,66.61411291,3
S60,58.61774193,66.93607527,3
S60,57.32989247,60.5079301,3.5
S60,57.66295699,61.46271505,3.5
S60,57.9294086,62.30647849,3.5
S60,58.25137097,63.26126344,3.5
S60,58.49561828,63.98290323,3.5
S60,58.77317204,64.78225807,3.5
S60,59.08403226,65.72594086,3.5
S60,59.29497312,66.4142742,3.5
S60,59.43930107,66.86946237,3.5
S60,57.68516129,60.30809139,4
S60,58.21806451,61.72916666,4
S60,58.63994624,62.87268817,4
S60,59.06182796,64.16053764,4
S60,59.30607527,64.87107527,4
S60,59.57252688,65.48169355,4
S60,59.79456989,66.26994624,4
S60,60.06102151,66.91387097,4
S60,58.31798387,60.53013441,5
S60,58.99521505,61.87349462,5
S60,59.46150538,63.03922043,5
S60,59.8833871,63.93849462,5
S60,60.29416667,64.80446237,5
S60,60.68274194,65.65932796,5
S60,60.94919355,66.22553764,5
S60,61.24895161,66.90276882,5
S60,59.0285215,61.27397849,6
S60,59.70575269,62.30647849,6
S60,60.40518817,63.46110215,6
S60,61.01580645,64.42698925,6
S60,61.50430108,65.41508065,6
S60,61.9039785,66.04790323,6
S60,62.29255377,66.91387097,6
S60,59.39489247,61.385,7
S60,59.8611828,61.95120968,7
S60,60.43849462,62.77276882,7
S60,60.9602957,63.43889785,7
S60,61.51540323,64.24935484,7
S60,62.0594086,65.05981183,7
S60,62.53680108,65.83696237,7
S60,62.9142742,66.4142742,7
S60,63.10301076,66.88056452,7
S60,60.13873656,61.80688172,8
S60,60.54951613,62.32868279,8
S60,61.11572581,63.09473118,8
S60,61.68193549,63.80526882,8
S60,62.21483871,64.57131721,8
S60,62.68112904,65.22634409,8
S60,63.16962366,65.99239248,8
S60,63.50268818,66.62521506,8
S60,63.66922043,66.93607527,8
S61,46.97276104,50.54282689,4
S61,47.46143925,51.24869542,4
S61,47.8686711,51.92741516,4
S61,48.34377492,52.78260204,4
S61,48.62883721,53.46132178,4
S61,48.9274739,54.18076471,4
S61,49.29398256,55.07667477,4
S61,49.63334243,55.99973363,4
S61,49.93197912,56.77347413,4
S61,50.33921097,57.79155375,4
S61,50.70571963,58.91822852,4
S61,46.97276104,48.96819708,5
S61,47.40714167,49.61976804,5
S61,47.88224549,50.44780612,5
S61,48.34377492,51.27584421,5
S61,49.21253619,52.87762281,5
S61,49.99985109,54.58799656,5
S61,50.54282689,55.71467133,5
S61,51.0315051,56.69202776,5
S61,51.41158816,57.52006585,5
S61,51.68307606,58.1852112,5
S61,52.02243593,58.91822852,5
S61,46.97276104,48.52024205,6
S61,47.6107576,49.29398256,6
S61,48.53381645,50.69214523,6
S61,49.48402409,52.25320064,6
S61,50.17631823,53.56991694,6
S61,50.84146358,54.72374051,6
S61,51.46588574,55.83684089,6
S61,52.00886153,56.80062292,6
S61,52.44324217,57.54721464,6
S61,52.82332523,58.28023196,6
S61,53.1491107,58.91822852,6
S61,46.97276104,48.28947734,7
S61,47.70577836,49.04964345,7
S61,48.64241161,50.20346702,7
S61,49.48402409,51.50660892,7
S61,50.16274383,52.60613491,7
S61,50.58355007,53.48847057,7
S61,53.05408994,57.24857795,7
S61,53.6920865,58.14448801,7
S61,54.2079135,58.90465413,7
S61,46.93203785,47.97726626,8
S61,47.57003441,48.58811403,8
