Structure,Headwater,Tailwater,Gate_No,Gate1,Gate2,Gate3,Gate4,Gate5,Gate6
S40,S40-H,S40-T,2,S40-1,S40-2,,,,
S41,S41-H,S41-T,2,S41-1,S41-2,,,,
S59,S59-H,S59-T,1,S59-1,,,,,
S60,S60-H,S60-T,1,S60-1,,,,,
S61,S61-H,S61-T,1,S61-1,,,,,
S62,S62-H,S62-T,1,S62-1,,,,,
S63,S63-H,S63-T,1,S63-1,,,,,
S63A,S63A-H,S63A-T,2,S63A-1,S63A-2,,,,
S65,S65-H,S65-T,5,S65-1,S65-2,S65-3,S65-4,S65-5,
S65A,S65A-H,S65A-T,3,S65A-1,S65A-2,S65A-3,,,
S65D,S65D-H,S65D-T,6,S65D-1,S65D-2,S65D-3,S65D-4,S65D-5,S65D-6
S65DX1,S65DX1-H,S65DX1-T,4,S65DX1-1,S65DX1-2,S65DX1-3,S65DX1-4,,
S65DX2,S65D-H,S65D-T,2,S65DX2-1,S65DX2-2,,,,
S65E,S65E-H,S65E-T,6,S65E-1,S65E-2,S65E-3,S65E-4,S65E-5,S65E-6
S65EX1,S65E-H,S65E-T,3,S65EX1-1,S65EX1-2,S65EX1-3,,,
S67,S67-H,S67-T,2,S67-1,S67-2,,,,
S67X,S67-H,S67-T,4,S67X-1,S67X-2,S67X-3,S67X-4,,
S68,S68-H,S68-T,3,S68-1,S68-2,S68-3,,,
S68X,S68-H,S68-T,1,S68X-1,,,,,
S70,S70-H,S70-T,2,S70-1,S70-2,,,,
S71,S71M-H,S71M-T,3,S71M-1,S71M-2,S71M-3,,,
S72,S72M-H,S72M-T,2,S72M-1,S72M-2,,,,
S75,S75-H,S75-T,1,S75-1,,,,,
S82,S82-H,S82-T,2,S82-1,S82-2,,,,
S83,S83-H,S83-T,1,S83-1,,,,,
S83X,S83-H,S83-T,1,S83X-1,,,,,
S84,S84-H,S84-T,2,S84-1,S84-2,,,,
S84X,S84-H,S84-T,1,S84X-1,,,,,
S97,S97-H,S97-T,2,S97-1,S97-2,,,,
S153,S153-H,S153-T,2,S153-1,S153-2,,,,
S191,S191-H,S191-T,3,S191-1,S191-2,S191-3,,,
S351,S2-H,S2-T,3,S351-1,S351-2,S351-3,,,
S352,S352-H,S352-TW,2,S352-1,S352-2,,,,
S354,S3-H,S3-T,2,S354-1,S354-2,,,,
